Type,Question
what were barbadian,What were Barbadian Akela Jones' and Nadine Visser's times at the 2016 Summer Olympics Women's heptathlon?
how long did,How long did the The Capitanian last?
who played in,Who played in game two of the 1922 Stanley Cup playoffs?
how much of,How much of the total New Zealand population was born overseas?
did the ba,"Out of the total 250 seats, how many did the Ba'ath Party occupy?"
which club did,Which club did Michael Ricketts play for in 2001 and in the 2001–02 Premier League season?
how many appearances,how many appearances did Doug Allder make with Millwall in six years ?
which model years,Which model years offered a 6.7 L Cummins turbo diesel?
in what year did,In what year did Takayuki Komine join the Japn Football League club Tokyo Gas?
what medals did,What medals did Abiodun Oyepitan get in the 2010 Commonwealth Games in Delhi?
what roles did,"What roles did Eleanor May Tomlinson play in Jact the Giant Slayer (2013), The White Queen and Poldark?"
other,______ appeared in the television Boston Public and Reno 911.
how many votes,How many votes did Gangula Kamalakar of Telangana Rashtra Samithi win with in the Karimnagar constituency ?
how many seats,How many seats out of a possible 124 did The Progressive Conservative Party of Ontario obtain?
what overall record,What overall record did Frank Arnold lead the Cougars to?
what time did,What time did Boniface Mweresa finish the 400m at Brazzaville 2015 ?
when was the,When was the  f/4L USM lens released?
other,Amor Ben Yahia set a record in the ______
when did the,When did the Ismol Family Series conclude?
which michelle rodriguez,Which Michelle Rodriguez film earned her the Independent Spirit Award for Best Debut Performance?
what selections did,What selections did the Raiders trade?
when did the,When did The Summer Nights Tour begin?
how many power,How many power cars and driving trailer cars is Sydney Train S include ?
how many games,How many games did Peter Løvenkrand play for the Rangers in the Scottish Premier League?
what roles did,What roles did Harry Bernard portray in the 1981 film Chariots of Fire and in the 2009 reboot film Star Trek?
when was the,When was the first ever papal visit to the Holy Land?
when was the,"When was the song ""Crazy for You"" released?"
who had the,Who had the lowest in the round?
what was lee,What was Lee Trevino's score that he won by at the the Tournament Players Championship?
how many goals,How many goals did Rubén Baraja score in 17 La Liga games for Valencia in 2001–02?
who represented refugee,Who represented refugee athletes at the 2016 Summer Olympics?
where did johnny,Where did Johnny Floyd have a record of 0-4 in 1929?
what year did,What year did Atsushi Yanagisawa appear in J1 League?
what was lennox,What was Lennox Forrester's coaching record?
when did the,When did The Royal Special air and who was on it?
in which 1995 film,In which 1995 film did Bayin play the role of Che Ling?
what work is,what work is Annaleigh Ashford known for ?
what were the,What were the highlights of the second match at the 2012–13 Momentum One Day Cup?
what was the,What was the result of the 1973 Bangladeshi general election?
what year did,What year did Steven Waddington played as Jeff in The Parole Officer?
what cups has,What cups has Perlis won and how many?
what award did,What award did Lori win in the 2017 Grammy Awards?
what position was,"What position was Šárka Kašpárková placed at, at the 1999 World Championships?"
in what year did,In what year did World Aquatics Championships Urte Kazakeviciute reached national records at 50m and 200m breaststroke events?
who did neeraj,Who did Neeraj Bora have to defeat to win?
which of miami,"Which of Miami Horror's album includes the singles ""Moon Theory"" and ""I Look to You"" (featuring Kimbra)?"
which award did,Which award did The Strictly Come Dancing show win at the National Television Awards in 2008 and 2013?
what year did,What year did amara Lawrance star as July in The Long Song?
what two events,What two events did Joël Bourgeois win gold and silver for?
which season,"On November 26, 2018, Love & Hip Hop New York returned for which season?"
when did joel,When did Joel Mogorosi score his first double?
when did the,"When did the second story arc, ""Funeral for a Friend"", issued The Adventures of Superman #498?"
what category did,What category did The-Dream win at the 2008 BET Awards?
which models appeared,which models appeared on the Australian singles charts at No. 1 in 1985?
what award categories,What award categories was Sarah Greene nominated for because of her performance in The Cripple of Inishmaan?
what awards was,What awards was the Sultan Killer nominated for in the ARIA awards?
what did luka,What did Luka win at the 2014 Asian Games?
how many goals,"Ian Miller played 139 games for ""Donny"" in the League and FA Cup, scoring how many goals from 1975–78?"
who directed the,"Who directed the music videos for ""What Happened to Us"" and ""Inescapable""?"
other,_______ operates four ATR42-500Nfor charter flights and five Boeing 727-200F for cargo flights
which bbc 3,On which BBC 3 series did Greg James take on the star role in 2013?
what movie did,What movie did Rondo Hatton film in the year 1946?
in what year,"""Love( Destiny)"" was released by who and in what year?"
what album are,"What album are the songs ""Up Against The Wall""  and ""Drink My Love Away"" on?"
what place did,What place did Herbert place and how fast did he go in the 200 m?
in what year did,In what year did Soundararaja get introduced as a Hero in Enakku Veru Engum Kilaigal Kidayathu?
in what years did,In what years did Oh Man-seok star in Jolly Widows?
what is score,What is score of England.
what records does,What records does Susanne Pumpe hold?
what party contested,What party contested in the 1985 Estonian Supreme Soviet election winning all 285 seats?
what year did,"What year did Empire of the Sun first appear in ""We Are the People"" and ""Walking on a Dream""?"
how many employees,How many employees did the 8th largest employer have in 2010?
what percentage of,What percentage of votes did William A. Richards beat William H. Holliday by in the 1894 Wyoming gubernatorial election?
what did ron,What did Ron Howard  appear in during 1962 and 1963?
in what year,Almonte Jr. Sharpshooters played for the National College Prospects Hockey League in the Canada division in what year?
who played bianca,Who played Bianca Taylor in Creed II?
